Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Price,Address
79545.45857,5.682861322,7.009188143,4.09,23086.8005,1059033.558,"208 Michael Ferry Apt. 674
Laurabury, NE 37010-5101"
79248.64245,6.002899808,6.730821019,3.09,40173.07217,1505890.915,"188 Johnson Views Suite 079
Lake Kathleen, CA 48958"
80850.04183,6.63541412,6.622449677,2.1,41420.16082,1501103.493,"PSC 9862, Box 7769
APO AA 73086-0222"
68901.14428,5.29531774,,2.01,30832.66831,956764.0141,"53280 Renee Canyon
Christopherland, IL 44788-8245"
50442.26643,4.76799751,7.248287754,6.07,33439.80668,644142.4757,"0645 Arroyo Trail
East Michelle, LA 07906-8981"
70745.9088,6.172536643,7.831781332,3,34915.51021,1392313.726,"515 Perkins Centers
Justinfurt, ID 88176"
57868.26663,,7.42352677,6.27,45196.15396,1189069.105,"PSC 8150, Box 6860
APO AE 97253"
62554.55457,5.553856476,6.286928355,4.36,39403.95992,923971.5832,"842 Bryan Branch Apt. 031
Foxborough, MT 33830"
61283.38862,3.881794238,7.518133849,4.45,36616.65883,720059.8348,"673 Cox Causeway
Port Robert, KY 19449-4787"
,4.51492234,7.45446456,5.1,39950.29527,1309938.767,"913 Jennifer Gateway
Priceburgh, IA 07032"
79874.73935,4.936370911,7.14637679,4.14,30410.23296,1196996.681,"427 William Estates
New David, AS 97086-1735"
64346.9875,5.790963732,6.978865478,2.02,32337.73286,959102.081,"73554 Justin Springs Suite 074
South Barbaramouth, AZ 98406"
83875.55987,7.243606997,8.522705293,5.46,30783.1704,1735416.921,"889 Michael Park Suite 582
East Kathleen, WV 56246-6708"
70365.51451,6.578553646,7.383852503,4.17,29450.53049,1500481.76,"467 Charles Corner Suite 640
New Dennisstad, CA 86309"
55468.48689,6.783950659,7.798627625,3.4,37666.33118,1099351.354,"53604 Charles Inlet
North Sarah, RI 84479"
68186.03169,6.889045997,8.432092837,3.17,33350.48026,1460364.3,"925 Jeffrey Flats
Hendersonland, IL 00112-7975"
71850.31216,6.121209663,6.723680569,2.2,44013.32406,1371640.932,"29275 Wade Bypass Apt. 677
Lake Jonathantown, NM 62508"
61000.16043,6.691542065,7.859604452,3.47,,1739761.373,"55801 Lisa Union
Herreramouth, GU 34932-6800"
56036.7394,7.206856384,6.5900353,4.4,33127.90212,1143672.825,"7660 Lewis Springs Apt. 280
Greeneshire, VT 67668-0305"
70614.71712,6.210086642,5.470122703,4.45,39449.98775,1113313.409,"84727 Diaz Stream Apt. 922
Lewishaven, NC 81679"
71208.2693,5.300326049,6.077988865,4.01,25696.36174,920747.9113,"796 Joshua Forges Suite 834
Bensonside, CA 82761"
73376.98596,6.364718802,8.271405144,5,37811.86692,1560615.501,"USNS Pearson
FPO AP 81151"
60823.12775,6.291192186,7.609961509,5.44,35447.29494,1023595.113,"USS Berry
FPO AE 35347"
71676.06716,7.292058586,6.566399296,4.44,45994.22533,1577462.034,"53827 Hines Garden
West Josephland, RI 37586-5546"
76144.48308,7.626934345,6.134192933,3.12,17355.2891,1366405.972,"25182 Long Mountain
Baileyfort, MO 57068"
89548.1483,4.927543161,6.41686771,4.32,39759.64821,1403802.502,"942 Alvarez Fork Suite 039
Quinnborough, AZ 54522"
65273.04487,6.107498549,8.561687059,6.1,40094.90402,1431406.513,"82353 Ronnie Parkway
Anneton, MD 97130-3540"
82973.13756,7.266680745,5.575816267,4,22098.22699,1167626.736,"56832 Roberts Squares Suite 942
North Virginia, MI 05865-5923"
37908.67586,6.233812726,7.252915778,6.07,39632.07979,880402.7569,"901 Peter Fort Apt. 157
Taylorfort, ND 06249-9518"
70374.65306,7.0931575,6.924672834,2.27,35981.18268,1428693.93,"15503 Garcia Lane
Hardymouth, AK 11574-6906"
68672.5608,6.1360608,6.8201874,2.23,45020.7533,1301935.92,"5644 Elliott Fall Apt. 897
Port Morgan, MS 40046"
77112.1712,6.634130356,6.29647314,2.29,36552.22294,1506656.826,"125 Ferguson Way
Gordonburgh, AZ 65380"
58725.63185,6.819396084,6.025570211,,22762.46618,866689.0912,"3321 Timothy Harbor
East Shannonhaven, ID 39704-4663"
69285.68143,4.498635082,6.46266541,2.49,42643.90936,1017105.371,"382 Kaitlyn Springs
Singletontown, AS 01030"
70543.06722,6.106621062,8.385028696,5.32,31116.21596,1480328.345,"1864 Reynolds Key Suite 000
North Anita, FL 02822"
